enhedsnummer,cvrnummer,felttype,branchekode,branchetekst,gyldigfra,gyldigtil
4001252025,10019427,bibranche2,682040,Udlejning af erhvervsejendomme,2018-10-01,2200-01-01
4001252025,10019427,hovedbranche,682040,Udlejning af erhvervsejendomme,2017-09-07,2018-09-30
4001252025,10019427,hovedbranche,649900,"Anden finansiel formidling undtagen forsikring og pensionsforsikring, i.a.n.",2017-04-01,2017-09-06
4001252025,10019427,hovedbranche,611000,Fastnetbaseret telekommunikation,2008-01-01,2017-03-31
4001252025,10019427,hovedbranche,222100,"Fremstilling af plader, ark, rør og slanger samt profiler af plast",2018-10-01,2200-01-01
4001252034,10019958,hovedbranche,236100,Fremstilling af byggematerialer af beton,2008-01-01,2200-01-01
4001252063,10021065,hovedbranche,721100,Forskning og eksperimentel udvikling indenfor bioteknologi,2008-01-01,2200-01-01
4001264383,10022657,hovedbranche,642020,Ikke-finansielle holdingselskaber,2008-01-01,2200-01-01
2855895,10023513,hovedbranche,642020,Ikke-finansielle holdingselskaber,2009-01-01,2200-01-01
2514687,10025508,hovedbranche,494100,Vejgodstransport,2008-01-01,2200-01-01
4620124,10026350,hovedbranche,643030,Investeringsselskaber,2008-01-01,2200-01-01
4715649,10026423,hovedbranche,461710,Fiskeauktioner,2008-01-01,2200-01-01
1542519,10026547,bibranche1,682040,Udlejning af erhvervsejendomme,2016-01-01,2018-01-01
1542519,10026547,hovedbranche,463200,Engroshandel med kød og kødprodukter,2008-01-01,2014-03-11
1542519,10026547,hovedbranche,463900,"Ikke-specialiseret engroshandel med føde-, drikke- og tobaksvarer",2014-03-12,2018-09-28
3928914,10028213,bibranche1,452010,Autoreparationsværksteder mv.,2008-01-01,2016-07-30
3928914,10028213,hovedbranche,493110,"Rutebuskørsel, by- og nærtrafik",2008-01-01,2016-07-30
4001273246,10030358,bibranche1,257300,Fremstilling af håndværktøj,2008-01-02,2200-01-01
4001273246,10030358,bibranche2,263000,Fremstilling af kommunikationsudstyr,2008-01-02,2200-01-01
4001273246,10030358,hovedbranche,222900,Fremstilling af andre plastprodukter,2008-01-01,2200-01-01
4000330315,10031176,hovedbranche,467310,"Engroshandel med træ, trælast og byggematerialer",2008-01-01,2200-01-01
5225681,10031265,hovedbranche,741010,Industriel design og produktdesign,2008-01-01,2016-06-16
5225681,10031265,hovedbranche,642010,Finansielle holdingselskaber,2016-06-17,2200-01-01
4001274383,10031656,hovedbranche,139210,Fremstilling af boligtekstiler,2008-01-01,2200-01-01
3028685,10034752,hovedbranche,643030,Investeringsselskaber,2008-01-01,2200-01-01
4612306,10035562,hovedbranche,649900,"Anden finansiel formidling undtagen forsikring og pensionsforsikring, i.a.n.",2008-01-01,2200-01-01
4000800372,10035643,hovedbranche,282500,Fremstilling af køle- og ventilationsanlæg (til industriel brug),2008-01-01,2200-01-01
4001281231,10035910,hovedbranche,251100,Fremstilling af metalkonstruktioner og dele heraf,2008-01-01,2200-01-01
2519063,10036461,hovedbranche,351300,Distribution af elektricitet,2008-01-01,2200-01-01
4001281255,10036925,bibranche1,477110,Tøjforretninger,2008-01-01,2200-01-01
4001281255,10036925,bibranche2,563000,"Cafeér, værtshuse, diskoteker mv.",2013-12-06,2200-01-01
4001281255,10036925,hovedbranche,476410,Forhandlere af sports- og campingudstyr,2008-01-01,2200-01-01
3306654,10038200,hovedbranche,682040,Udlejning af erhvervsejendomme,2008-01-01,2200-01-01
4526482,10038251,hovedbranche,642020,Ikke-finansielle holdingselskaber,2008-01-01,2200-01-01
4000800852,10038839,bibranche1,853200,Tekniske skoler og fagskoler,2008-01-02,2200-01-01
4000800852,10038839,hovedbranche,551020,Konferencecentre og kursusejendomme,2008-01-02,2200-01-01
4000800911,10041538,hovedbranche,642020,Ikke-finansielle holdingselskaber,2008-01-01,2200-01-01
4001277476,10042518,hovedbranche,432200,VVS- og blikkenslagerforretninger,2008-01-01,2200-01-01
4001290653,10046769,hovedbranche,351100,Produktion af elektricitet,2008-01-01,2200-01-01
4001292040,10046963,bibranche1,682040,Udlejning af erhvervsejendomme,2017-05-01,2200-01-01
4001292040,10046963,hovedbranche,771200,Udlejning og leasing af lastbiler,2008-10-01,2200-01-01
2592499,10047234,hovedbranche,620100,Computerprogrammering,2008-01-01,2200-01-01
4000799573,10047692,hovedbranche,602000,Tv-virksomhed,2008-01-01,2200-01-01
4001305460,10048265,bibranche1,273100,Fremstilling af lyslederkabler,2009-07-01,2200-01-01
4001305460,10048265,hovedbranche,267000,Fremstilling af optiske instrumenter og fotografisk udstyr,2008-01-01,2200-01-01
4001305703,10048567,hovedbranche,467310,"Engroshandel med træ, trælast og byggematerialer",2008-01-01,2019-01-14
4000554197,10050715,hovedbranche,289300,"Fremstilling af maskiner til føde-, drikke- og tobaksvareindustrien",2008-01-01,2200-01-01
4001303369,10051061,hovedbranche,464210,Engroshandel med beklædning,2008-01-01,2200-01-01
5341683,10051762,bibranche1,771200,Udlejning og leasing af lastbiler,2010-07-31,2200-01-01
5341683,10051762,hovedbranche,642020,Ikke-finansielle holdingselskaber,2008-01-01,2200-01-01
4001313078,10054060,hovedbranche,642020,Ikke-finansielle holdingselskaber,2009-01-01,2016-03-14
3993506,10054621,hovedbranche,265100,"Fremstilling af udstyr til måling, afprøvning, navigation og kontrol",2008-01-01,2200-01-01
4529686,10054974,hovedbranche,325000,Fremstilling af medicinske og dentale instrumenter samt udstyr hertil,2008-01-02,2200-01-01
4001312728,10055466,hovedbranche,502000,Sø- og kysttransport af gods,2008-01-01,2016-07-20
2785250,10055563,hovedbranche,682030,Anden udlejning af boliger,2008-01-01,2200-01-01
4000799777,10055792,bibranche1,682040,Udlejning af erhvervsejendomme,2016-02-01,2200-01-01
4000799777,10055792,hovedbranche,411000,Gennemførelse af byggeprojekter,2008-01-01,2200-01-01
4000330322,10055997,bibranche1,682040,Udlejning af erhvervsejendomme,2008-01-02,2200-01-01
4000330322,10055997,hovedbranche,682030,Anden udlejning af boliger,2008-01-01,2200-01-01
4000576477,10057426,hovedbranche,429100,"Anlæg af vandveje, havne, diger og dæmninger",2014-01-01,2200-01-01
4001299149,10059127,bibranche1,682040,Udlejning af erhvervsejendomme,2008-01-02,2014-07-08
4001299149,10059127,hovedbranche,475220,Byggemarkeder og værktøjsmagasiner,2009-02-02,2014-07-08
4000800234,10059771,hovedbranche,332000,Installation af industrimaskiner og -udstyr,2013-01-01,2200-01-01
4159729,10061156,hovedbranche,642020,Ikke-finansielle holdingselskaber,2009-01-01,2200-01-01
1992548,10061377,hovedbranche,682040,Udlejning af erhvervsejendomme,2008-01-01,2200-01-01
4000330324,10062039,bibranche1,682030,Anden udlejning af boliger,2008-01-02,2200-01-01
4000330324,10062039,hovedbranche,682040,Udlejning af erhvervsejendomme,2008-01-01,2200-01-01
4000330328,10062845,bibranche1,682040,Udlejning af erhvervsejendomme,2008-01-02,2200-01-01
4000330328,10062845,hovedbranche,682030,Anden udlejning af boliger,2008-01-01,2200-01-01
2862928,10063639,bibranche1,81200,Grus- og sandgravning: indvinding af ler og kaolin,2008-01-02,2200-01-01
2862928,10063639,hovedbranche,494100,Vejgodstransport,2008-01-01,2200-01-01
4001299700,10064511,hovedbranche,463100,Engroshandel med frugt og grøntsager,2008-01-01,2016-01-13
4001302687,10067022,hovedbranche,642020,Ikke-finansielle holdingselskaber,2009-01-01,2200-01-01
3643491,10067855,hovedbranche,582900,Anden udgivelse af software,2011-01-01,2017-03-02
4001312892,10068622,hovedbranche,451110,"Engroshandel med personbiler, varebiler og minibusser",2008-01-01,2200-01-01
4001312891,10068657,bibranche1,620200,Konsulentbistand vedrørende informationsteknologi,2008-01-02,2200-01-01
4001312891,10068657,hovedbranche,181200,Anden trykning,2008-01-01,2200-01-01
4000530984,10073022,hovedbranche,701010,Ikke-finansielle hovedsæders virksomhed,2009-01-01,2200-01-01
4000803320,10074185,bibranche1,432900,Anden bygningsinstallationsvirksomhed,2015-06-01,2200-01-01
4000803320,10074185,bibranche2,422200,Anlæg af ledningsnet til elektricitet og kommunikation,2015-06-01,2200-01-01
4000803320,10074185,bibranche3,711210,Rådgivende ingeniørvirksomhed inden for byggeri og anlægsarbejder,2018-04-01,2200-01-01
4000803320,10074185,hovedbranche,432100,El-installation,2013-01-01,2200-01-01
4000549534,10076404,bibranche1,464700,"Engroshandel med møbler, tæpper og belysningsartikler",2008-01-01,2200-01-01
4000549534,10076404,hovedbranche,522920,Speditører,2008-01-01,2200-01-01
3454678,10076951,hovedbranche,351300,Distribution af elektricitet,2008-01-01,2200-01-01
4001355988,10078164,hovedbranche,683210,Administration af fast ejendom på kontraktbasis,2008-01-01,2200-01-01
4001355998,10078512,bibranche1,702200,Virksomhedsrådgivning og anden rådgivning om driftsledelse,2014-11-18,2200-01-01
4001355998,10078512,hovedbranche,642020,Ikke-finansielle holdingselskaber,2009-01-01,2200-01-01
4228177,10079810,hovedbranche,620900,Anden it-servicevirksomhed,2011-10-01,2200-01-01
4000804378,10080991,hovedbranche,222100,"Fremstilling af plader, ark, rør og slanger samt profiler af plast",2008-01-01,2200-01-01
4001378289,10082366,hovedbranche,801000,Private vagt- og sikkerhedstjenester,2008-01-01,2200-01-01
4000804413,10082773,bibranche1,222200,Fremstilling af plastemballage,2008-01-02,2200-01-01
4000804413,10082773,bibranche2,467600,Engroshandel med andre råvarer og halvfabrikata,2008-01-02,2200-01-01
4000804413,10082773,bibranche3,682040,Udlejning af erhvervsejendomme,2016-01-01,2200-01-01
4000804413,10082773,bibranche3,649100,Finansiel leasing,2008-01-02,2015-12-31
4000804413,10082773,hovedbranche,222100,"Fremstilling af plader, ark, rør og slanger samt profiler af plast",2008-01-01,2200-01-01
4001378561,10084067,bibranche1,783000,Anden personaleformidling,2008-01-01,2200-01-01
4001378561,10084067,hovedbranche,782000,Vikarbureauer,2008-01-01,2200-01-01
4001378604,10084725,bibranche1,821100,Kombinerede administrationsserviceydelser,2012-11-01,2200-01-01
4001378604,10084725,hovedbranche,643030,Investeringsselskaber,2008-01-01,2200-01-01
4001380123,10086817,hovedbranche,642020,Ikke-finansielle holdingselskaber,2009-01-01,2200-01-01
4001378872,10088518,hovedbranche,467600,Engroshandel med andre råvarer og halvfabrikata,2008-01-01,2200-01-01
4001378875,10088569,hovedbranche,467100,"Engroshandel med fast, flydende og luftformigt brændstof og lignende varer",2008-01-01,2016-11-28
4001379838,10089751,hovedbranche,466100,"Engroshandel med landbrugsmaskiner, -udstyr og tilbehør hertil",2008-01-01,2200-01-01
4001379840,10089859,bibranche1,477110,Tøjforretninger,2008-01-01,2200-01-01
4001379840,10089859,hovedbranche,464210,Engroshandel med beklædning,2008-01-01,2200-01-01
4001384640,10092922,hovedbranche,241000,Fremstilling af råjern og råstål samt jernlegeringer,2008-01-01,2200-01-01
4001388665,10097924,hovedbranche,281110,Fremstilling af vindmøller og dele hertil,2008-01-01,2200-01-01
4057331,10101441,hovedbranche,932100,Forlystelsesparker o.l.,2008-01-01,2200-01-01
3946044,10101719,hovedbranche,642020,Ikke-finansielle holdingselskaber,2009-01-01,2200-01-01
4001395369,10101859,bibranche1,331100,Reparation af jern- og metalvarer,2008-01-02,2200-01-01
4001395369,10101859,bibranche2,252900,Fremstilling af andre tanke og beholdere af metal,2008-01-01,2200-01-01
4001395369,10101859,hovedbranche,256200,Maskinforarbejdning,2008-01-01,2200-01-01
4248942,10104653,bibranche1,581410,Udgivelse af ugeblade og magasiner,2008-01-01,2200-01-01
4248942,10104653,bibranche2,464610,Engroshandel med medicinalvarer og sygeplejeartikler,2008-01-01,2200-01-01
4248942,10104653,hovedbranche,862200,Praktiserende speciallæger,2008-01-01,2200-01-01
5611002,10105226,hovedbranche,642010,Finansielle holdingselskaber,2013-07-01,2200-01-01
4000803402,10106982,hovedbranche,463300,"Engroshandel med mejeriprodukter, æg samt spiselige olier og fedtstoffer",2008-01-01,2200-01-01
4001408186,10109124,hovedbranche,262000,Fremstilling af computere og ydre enheder,2008-01-02,2200-01-01
5435938,10109213,hovedbranche,999999,Uoplyst,2008-01-01,2200-01-01
5801827,10109469,hovedbranche,642020,Ikke-finansielle holdingselskaber,2009-01-01,2200-01-01
4000493230,10112354,bibranche1,432200,VVS- og blikkenslagerforretninger,2008-01-01,2200-01-01
4000493230,10112354,bibranche2,331400,Reparation af elektrisk udstyr,2008-01-01,2015-05-31
4000493230,10112354,hovedbranche,432100,El-installation,2008-01-01,2200-01-01
4001401842,10112451,bibranche1,682040,Udlejning af erhvervsejendomme,2015-01-01,2200-01-01
4001401842,10112451,bibranche1,282900,Fremstilling af andre maskiner til generelle formål i.a.n.,2013-06-01,2014-12-31
4001401842,10112451,hovedbranche,271200,Fremstilling af elektriske fordelings- og kontrolapparater,2008-01-02,2200-01-01
4000804191,10114241,hovedbranche,464500,Engroshandel med parfumerivarer og kosmetik,2008-01-01,2200-01-01
3126227,10114969,hovedbranche,642020,Ikke-finansielle holdingselskaber,2009-01-01,2200-01-01
4179242,10116112,hovedbranche,642020,Ikke-finansielle holdingselskaber,2009-01-01,2200-01-01
5192743,10116252,bibranche1,692000,Bogføring og revision: skatterådgivning,2010-06-04,2016-02-16
5192743,10116252,hovedbranche,642020,Ikke-finansielle holdingselskaber,2010-06-04,2200-01-01
4001402191,10116821,hovedbranche,642020,Ikke-finansielle holdingselskaber,2008-01-01,2200-01-01
4001399316,10117224,hovedbranche,477630,Dyrehandel,2008-01-01,2200-01-01
2923324,10122120,hovedbranche,642010,Finansielle holdingselskaber,2008-01-01,2200-01-01
3673066,10122511,hovedbranche,643030,Investeringsselskaber,2008-01-01,2200-01-01
2970534,10123518,hovedbranche,352200,Distribution af gas,2008-01-01,2200-01-01
3573366,10124468,hovedbranche,642020,Ikke-finansielle holdingselskaber,2008-01-01,2200-01-01
4000797102,10125235,hovedbranche,451120,"Detailhandel med personbiler, varebiler og minibusser",2008-01-01,2200-01-01
4710749,10125421,bibranche1,479900,"Anden detailhandel undtagen fra forretninger, stadepladser og markeder",2019-01-01,2200-01-01
4710749,10125421,hovedbranche,467100,"Engroshandel med fast, flydende og luftformigt brændstof og lignende varer",2008-01-01,2200-01-01
2690702,10126045,hovedbranche,464210,Engroshandel med beklædning,2008-01-01,2200-01-01
4001396384,10126061,hovedbranche,261100,Fremstilling af elektroniske komponenter og plader,2011-12-19,2200-01-01
4001396394,10126312,hovedbranche,642020,Ikke-finansielle holdingselskaber,2009-01-01,2200-01-01
4704322,10127661,bibranche1,81200,Grus- og sandgravning: indvinding af ler og kaolin,2013-01-01,2200-01-01
4704322,10127661,hovedbranche,431200,Forberedende byggepladsarbejder,2008-01-01,2200-01-01
4000595191,10130751,bibranche1,682040,Udlejning af erhvervsejendomme,2008-01-02,2200-01-01
4000595191,10130751,bibranche2,412000,Opførelse af bygninger,2008-01-01,2200-01-01
4000595191,10130751,hovedbranche,681000,Køb og salg af egen fast ejendom,2008-01-01,2200-01-01
3115354,10131820,hovedbranche,682040,Udlejning af erhvervsejendomme,2010-01-01,2200-01-01
2960352,10132320,hovedbranche,642020,Ikke-finansielle holdingselskaber,2008-01-01,2200-01-01
3523310,10132754,hovedbranche,642010,Finansielle holdingselskaber,2008-01-01,2200-01-01
3320879,10133513,hovedbranche,642020,Ikke-finansielle holdingselskaber,2008-01-01,2200-01-01
4000796085,10134188,hovedbranche,469000,Ikke-specialiseret engroshandel,2008-01-01,2200-01-01
4001418952,10134226,hovedbranche,643030,Investeringsselskaber,2008-01-01,2200-01-01
4000796088,10134285,bibranche1,289300,"Fremstilling af maskiner til føde-, drikke- og tobaksvareindustrien",2008-01-02,2200-01-01
4000796088,10134285,hovedbranche,282900,Fremstilling af andre maskiner til generelle formål i.a.n.,2008-01-01,2200-01-01
4000728769,10134463,hovedbranche,522920,Speditører,2008-01-01,2200-01-01
4001403808,10135567,bibranche1,422100,Anlæg af ledningsnet til væsker,2014-01-01,2200-01-01
4001403808,10135567,bibranche2,494100,Vejgodstransport,2017-05-01,2200-01-01
4001403808,10135567,hovedbranche,431200,Forberedende byggepladsarbejder,2008-01-01,2200-01-01
4000796189,10139384,hovedbranche,282900,Fremstilling af andre maskiner til generelle formål i.a.n.,2008-01-01,2200-01-01
4017517,10141427,hovedbranche,642020,Ikke-finansielle holdingselskaber,2009-01-01,2200-01-01
3097936,10143357,bibranche1,682040,Udlejning af erhvervsejendomme,2015-06-19,2200-01-01
3097936,10143357,hovedbranche,642020,Ikke-finansielle holdingselskaber,2009-01-01,2200-01-01
4001427452,10143713,hovedbranche,642030,Gennemløbsholdingselskaber,2011-01-01,2200-01-01
4001427481,10144922,hovedbranche,649900,"Anden finansiel formidling undtagen forsikring og pensionsforsikring, i.a.n.",2016-04-01,2200-01-01
4001427481,10144922,hovedbranche,502000,Sø- og kysttransport af gods,2008-01-01,2016-03-31
5054591,10144957,hovedbranche,642020,Ikke-finansielle holdingselskaber,2008-01-01,2200-01-01
4001421917,10145015,hovedbranche,477400,Detailhandel med medicinske og ortopædiske artikler,2008-01-01,2200-01-01
4001426627,10148014,hovedbranche,464100,Engroshandel med tekstiler,2008-01-01,2200-01-01
4612351,10150825,bibranche1,631100,"Databehandling, webhosting og lignende serviceydelser",2017-06-01,2200-01-01
4612351,10150825,bibranche2,581410,Udgivelse af ugeblade og magasiner,2017-06-01,2200-01-01
4612351,10150825,hovedbranche,631100,"Databehandling, webhosting og lignende serviceydelser",2008-01-01,2017-05-31
4612351,10150825,hovedbranche,631200,Webportaler,2017-06-01,2200-01-01
2601942,10150981,bibranche1,682030,Anden udlejning af boliger,2016-10-01,2018-11-01
2601942,10150981,hovedbranche,682030,Anden udlejning af boliger,2018-11-02,2019-02-26
2601942,10150981,hovedbranche,682040,Udlejning af erhvervsejendomme,2016-10-01,2018-10-31
2601942,10150981,hovedbranche,682040,Udlejning af erhvervsejendomme,2018-11-01,2018-11-01
2601942,10150981,hovedbranche,642020,Ikke-finansielle holdingselskaber,2008-01-01,2016-09-30
5508775,10151112,hovedbranche,642020,Ikke-finansielle holdingselskaber,2008-01-01,2200-01-01
4001436783,10151651,hovedbranche,469000,Ikke-specialiseret engroshandel,2008-01-01,2200-01-01
5069466,10151864,hovedbranche,642020,Ikke-finansielle holdingselskaber,2009-01-01,2200-01-01
4000798793,10152089,hovedbranche,463600,"Engroshandel med sukker, chokolade og sukkervarer",2008-01-01,2200-01-01
3384066,10152879,bibranche1,475220,Byggemarkeder og værktøjsmagasiner,2008-01-02,2200-01-01
3384066,10152879,hovedbranche,467310,"Engroshandel med træ, trælast og byggematerialer",2008-01-01,2200-01-01
4000798817,10153271,hovedbranche,643030,Investeringsselskaber,2008-01-01,2017-03-31
4000798817,10153271,hovedbranche,551010,Hoteller,2017-04-01,2200-01-01
4000798818,10153301,bibranche1,900110,Teater- og koncertvirksomhed,2008-01-01,2200-01-01
4000798818,10153301,hovedbranche,551010,Hoteller,2008-01-01,2200-01-01
4001436826,10154065,hovedbranche,642020,Ikke-finansielle holdingselskaber,2008-01-01,2200-01-01
4001437066,10154421,hovedbranche,642020,Ikke-finansielle holdingselskaber,2009-01-01,2200-01-01
3179686,10154456,hovedbranche,642020,Ikke-finansielle holdingselskaber,2008-01-01,2200-01-01
5286923,10154499,hovedbranche,701010,Ikke-finansielle hovedsæders virksomhed,2010-12-01,2200-01-01
4000798838,10154596,bibranche1,682040,Udlejning af erhvervsejendomme,2017-08-16,2200-01-01
4000798838,10154596,hovedbranche,532000,Andre post- og kurertjenester,2008-01-01,2200-01-01
4001437078,10155010,hovedbranche,642020,Ikke-finansielle holdingselskaber,2013-07-01,2200-01-01
834871,10156211,hovedbranche,642020,Ikke-finansielle holdingselskaber,2008-01-01,2200-01-01
4001436936,10156815,hovedbranche,642020,Ikke-finansielle holdingselskaber,2009-01-01,2200-01-01
4001436942,10157056,hovedbranche,353000,Varmeforsyning,2008-01-01,2200-01-01
4001436947,10157269,hovedbranche,682040,Udlejning af erhvervsejendomme,2008-01-01,2200-01-01
2230973,10157676,bibranche1,649230,Andre kreditselskaber,2008-01-02,2200-01-01
2230973,10157676,hovedbranche,649100,Finansiel leasing,2008-01-01,2200-01-01
5763316,10158427,hovedbranche,642020,Ikke-finansielle holdingselskaber,2009-01-01,2200-01-01
4001437919,10160669,bibranche1,711210,Rådgivende ingeniørvirksomhed inden for byggeri og anlægsarbejder,2017-11-01,2200-01-01
4001437919,10160669,hovedbranche,701010,Ikke-finansielle hovedsæders virksomhed,2009-01-01,2200-01-01
4000798054,10161614,hovedbranche,701010,Ikke-finansielle hovedsæders virksomhed,2008-01-01,2200-01-01
4001443866,10162769,hovedbranche,682040,Udlejning af erhvervsejendomme,2019-04-01,2200-01-01
4001443866,10162769,hovedbranche,642020,Ikke-finansielle holdingselskaber,2009-01-01,2019-03-31
4001443891,10163668,bibranche1,432100,El-installation,2014-05-28,2014-05-31
4001443891,10163668,hovedbranche,682040,Udlejning af erhvervsejendomme,2008-01-01,2014-05-27
4001443891,10163668,hovedbranche,701010,Ikke-finansielle hovedsæders virksomhed,2014-05-28,2200-01-01
4000798149,10166470,bibranche1,466900,Engroshandel med andre maskiner og andet udstyr,2008-01-02,2200-01-01
4000798149,10166470,bibranche2,256200,Maskinforarbejdning,2019-01-01,2200-01-01
4000798149,10166470,hovedbranche,281500,"Fremstilling af lejer, tandhjul, tandhjulsudvekslinger og drivelementer",2008-01-01,2200-01-01
4000330355,10166896,bibranche1,477110,Tøjforretninger,2008-01-01,2200-01-01
4000330355,10166896,hovedbranche,477830,Forhandlere af gaveartikler og brugskunst,2008-01-01,2200-01-01
4000798215,10169291,hovedbranche,192000,Fremstilling af raffinerede mineralolieprodukter,2014-01-01,2200-01-01
4000800467,10174775,bibranche1,477110,Tøjforretninger,2008-01-01,2200-01-01
4000800467,10174775,hovedbranche,464210,Engroshandel med beklædning,2008-01-01,2200-01-01
4000799529,10183383,bibranche1,682040,Udlejning af erhvervsejendomme,2008-01-02,2200-01-01
4000799529,10183383,hovedbranche,889910,"Foreninger, legater og fonde med sygdomsbekæmpende, sociale og velgørende formål",2008-01-01,2200-01-01
1374720,10193079,hovedbranche,682040,Udlejning af erhvervsejendomme,2008-01-01,2018-08-28
4000801239,10206987,bibranche1,439990,"Anden bygge- og anlægsvirksomhed, som kræver specialisering",2008-01-01,2200-01-01
4000801239,10206987,bibranche2,422100,Anlæg af ledningsnet til væsker,2014-01-01,2200-01-01
4000801239,10206987,hovedbranche,370000,Opsamling og behandling af spildevand,2008-01-01,2200-01-01
977252,10209781,hovedbranche,236100,Fremstilling af byggematerialer af beton,2008-01-01,2200-01-01
4000801292,10209994,hovedbranche,256200,Maskinforarbejdning,2008-01-01,2200-01-01
4000801972,10216036,hovedbranche,236100,Fremstilling af byggematerialer af beton,2008-01-01,2200-01-01
4000801975,10216281,hovedbranche,463420,Engroshandel med vin og spiritus,2008-01-01,2200-01-01
4000801986,10216990,hovedbranche,464700,"Engroshandel med møbler, tæpper og belysningsartikler",2008-01-01,2200-01-01
4000802019,10218683,hovedbranche,412000,Opførelse af bygninger,2008-01-01,2200-01-01
2006253,10220475,hovedbranche,620100,Computerprogrammering,2008-01-01,2200-01-01
4000802068,10221994,hovedbranche,467310,"Engroshandel med træ, trælast og byggematerialer",2008-01-01,2200-01-01
4000802691,10226392,bibranche1,463890,Specialiseret engroshandel med fødevarer i.a.n.,2008-01-01,2200-01-01
4000802691,10226392,hovedbranche,108900,Fremstilling af andre fødevarer i.a.n.,2008-01-01,2200-01-01
4000802699,10226899,hovedbranche,643030,Investeringsselskaber,2008-01-01,2018-11-08
1565926,10238889,hovedbranche,642020,Ikke-finansielle holdingselskaber,2008-01-01,2200-01-01
2955225,10238935,hovedbranche,222100,"Fremstilling af plader, ark, rør og slanger samt profiler af plast",2008-01-01,2200-01-01
4000804611,10239680,bibranche1,682040,Udlejning af erhvervsejendomme,2011-07-01,2016-11-30
4000804611,10239680,hovedbranche,642020,Ikke-finansielle holdingselskaber,2016-12-01,2200-01-01
4000804611,10239680,hovedbranche,289900,Fremstilling af øvrige maskiner til specielle formål i.a.n.,2008-01-01,2016-11-30
4000424306,10239702,hovedbranche,682040,Udlejning af erhvervsejendomme,2008-01-01,2200-01-01
2240971,10240883,bibranche1,462100,"Engroshandel med korn, uforarbejdet tobak, såsæd og foderstoffer",2015-11-01,2017-04-04
2240971,10240883,bibranche1,106100,Fremstilling af mølleriprodukter,2008-01-02,2015-10-31
2240971,10240883,bibranche2,462100,"Engroshandel med korn, uforarbejdet tobak, såsæd og foderstoffer",2008-01-01,2015-10-31
2240971,10240883,hovedbranche,103900,Anden forarbejdning og konservering af frugt og grøntsager,2008-01-01,2017-04-04
4628860,10244196,hovedbranche,642010,Finansielle holdingselskaber,2013-07-01,2018-06-01
4000803466,10245613,bibranche1,463600,"Engroshandel med sukker, chokolade og sukkervarer",2008-01-02,2200-01-01
4000803466,10245613,bibranche2,682040,Udlejning af erhvervsejendomme,2017-09-01,2200-01-01
4000803466,10245613,hovedbranche,107110,Industriel fremstilling af brød: kager mv.,2008-01-01,2200-01-01
4000330372,10246415,bibranche1,81200,Grus- og sandgravning: indvinding af ler og kaolin,2008-01-01,2200-01-01
4000330372,10246415,bibranche2,421100,Anlæg af veje og motorveje,2014-01-01,2200-01-01
