cvrnummer,formkode,kortbeskrivelse,langbeskrivelse,gyldigfra,gyldigtil
25340604,40,K/S,Kommanditselskab,2000-02-01,2200-01-01
25824318,40,K/S,Kommanditselskab,2000-11-16,2200-01-01
10055466,40,K/S,Kommanditselskab,2000-11-07,2016-07-20
26492963,40,K/S,Kommanditselskab,2002-02-01,2200-01-01
10078164,40,K/S,Kommanditselskab,2001-12-06,2200-01-01
26533252,40,K/S,Kommanditselskab,2002-02-01,2200-01-01
26850703,40,K/S,Kommanditselskab,2002-10-18,2014-12-19
26886228,40,K/S,Kommanditselskab,2002-10-31,2200-01-01
27192505,40,K/S,Kommanditselskab,2003-05-29,2200-01-01
27406807,40,K/S,Kommanditselskab,2003-10-17,2014-12-23
28152965,40,K/S,Kommanditselskab,2004-11-02,2017-05-15
28517521,40,K/S,Kommanditselskab,2010-09-28,2200-01-01
28719256,40,K/S,Kommanditselskab,2005-06-02,2017-07-17
29172536,40,K/S,Kommanditselskab,2005-09-22,2200-01-01
29316058,40,K/S,Kommanditselskab,2006-01-27,2200-01-01
29137684,40,K/S,Kommanditselskab,2005-09-22,2200-01-01
29397570,40,K/S,Kommanditselskab,2006-02-23,2200-01-01
29403457,40,K/S,Kommanditselskab,2006-03-02,2200-01-01
28663358,40,K/S,Kommanditselskab,2006-07-07,2200-01-01
29668736,40,K/S,Kommanditselskab,2006-07-12,2016-12-31
29668736,40,K/S,Kommanditselskab,2017-01-01,2200-01-01
29448477,40,K/S,Kommanditselskab,2006-04-07,2200-01-01
28666705,40,K/S,Kommanditselskab,2006-07-07,2200-01-01
29842124,40,K/S,Kommanditselskab,2006-08-25,2200-01-01
29808767,40,K/S,Kommanditselskab,2006-12-28,2200-01-01
30555260,40,K/S,Kommanditselskab,2007-06-29,2200-01-01
30582276,40,K/S,Kommanditselskab,2007-05-08,2200-01-01
30582268,40,K/S,Kommanditselskab,2007-05-08,2200-01-01
30818172,40,K/S,Kommanditselskab,2010-09-28,2200-01-01
30908740,40,K/S,Kommanditselskab,2007-09-11,2200-01-01
31585996,40,K/S,Kommanditselskab,2008-07-01,2200-01-01
31371996,40,K/S,Kommanditselskab,2008-03-04,2015-10-21
31371996,40,K/S,Kommanditselskab,2016-04-08,2017-08-30
31371996,40,K/S,Kommanditselskab,2017-08-31,2018-08-29
31371996,40,K/S,Kommanditselskab,2018-08-30,2019-05-02
31477379,40,K/S,Kommanditselskab,2008-05-30,2200-01-01
31585252,40,K/S,Kommanditselskab,2008-07-01,2200-01-01
31625394,40,K/S,Kommanditselskab,2008-07-17,2200-01-01
31488605,40,K/S,Kommanditselskab,2008-05-26,2200-01-01
31585201,40,K/S,Kommanditselskab,2008-07-01,2200-01-01
31585937,40,K/S,Kommanditselskab,2008-07-01,2200-01-01
32074472,40,K/S,Kommanditselskab,2009-03-10,2200-01-01
32358772,40,K/S,Kommanditselskab,2009-08-11,2018-05-04
32153534,40,K/S,Kommanditselskab,2009-04-17,2200-01-01
32299806,40,K/S,Kommanditselskab,2009-09-30,2016-11-02
32471560,40,K/S,Kommanditselskab,2009-10-01,2200-01-01
32771971,40,K/S,Kommanditselskab,2010-01-25,2015-10-22
32786960,40,K/S,Kommanditselskab,2010-02-08,2015-09-08
33266391,40,K/S,Kommanditselskab,2010-10-26,2016-08-12
33266391,40,K/S,Kommanditselskab,2016-08-13,2017-08-16
33266391,40,K/S,Kommanditselskab,2017-08-17,2019-04-09
33253923,40,K/S,Kommanditselskab,2010-10-26,2200-01-01
33078285,40,K/S,Kommanditselskab,2010-07-30,2200-01-01
33388977,40,K/S,Kommanditselskab,2010-12-21,2200-01-01
33364598,40,K/S,Kommanditselskab,2010-11-23,2200-01-01
33771681,40,K/S,Kommanditselskab,2011-06-28,2200-01-01
33768532,40,K/S,Kommanditselskab,2011-06-24,2200-01-01
34045062,40,K/S,Kommanditselskab,2011-11-01,2200-01-01
34045089,40,K/S,Kommanditselskab,2011-11-01,2200-01-01
34045097,40,K/S,Kommanditselskab,2011-11-01,2200-01-01
34045100,40,K/S,Kommanditselskab,2011-11-01,2200-01-01
34085919,40,K/S,Kommanditselskab,2011-12-15,2200-01-01
34087563,40,K/S,Kommanditselskab,2011-12-21,2015-10-21
34087563,40,K/S,Kommanditselskab,2015-11-04,2200-01-01
34076790,40,K/S,Kommanditselskab,2011-12-06,2200-01-01
34583439,40,K/S,Kommanditselskab,2012-05-29,2200-01-01
34583447,40,K/S,Kommanditselskab,2012-05-29,2200-01-01
34583463,40,K/S,Kommanditselskab,2012-05-29,2200-01-01
34452709,40,K/S,Kommanditselskab,2012-01-27,2016-08-09
32348920,40,K/S,Kommanditselskab,2012-10-25,2200-01-01
34705321,40,K/S,Kommanditselskab,2012-08-17,2015-10-22
34705321,40,K/S,Kommanditselskab,2016-04-18,2017-05-08
34710252,40,K/S,Kommanditselskab,2012-04-10,2015-09-02
34700869,40,K/S,Kommanditselskab,2012-07-20,2014-08-25
34700869,40,K/S,Kommanditselskab,2015-01-22,2200-01-01
34702136,40,K/S,Kommanditselskab,2012-09-06,2200-01-01
34879834,40,K/S,Kommanditselskab,2012-12-06,2200-01-01
35383468,40,K/S,Kommanditselskab,2013-06-24,2200-01-01
35383719,40,K/S,Kommanditselskab,2013-06-21,2200-01-01
35397213,40,K/S,Kommanditselskab,2013-06-11,2200-01-01
35403612,40,K/S,Kommanditselskab,2013-07-15,2200-01-01
35254099,40,K/S,Kommanditselskab,2013-05-15,2200-01-01
35409777,40,K/S,Kommanditselskab,2013-07-12,2200-01-01
35409785,40,K/S,Kommanditselskab,2013-07-12,2200-01-01
35409793,40,K/S,Kommanditselskab,2013-07-12,2200-01-01
35382127,40,K/S,Kommanditselskab,2013-06-20,2200-01-01
32334059,40,K/S,Kommanditselskab,2014-02-13,2200-01-01
35485058,40,K/S,Kommanditselskab,2013-10-01,2200-01-01
35533001,40,K/S,Kommanditselskab,2013-11-05,2200-01-01
29823510,40,K/S,Kommanditselskab,2013-10-18,2200-01-01
35814035,40,K/S,Kommanditselskab,2014-03-25,2200-01-01
35681531,40,K/S,Kommanditselskab,2014-03-06,2200-01-01
35836470,40,K/S,Kommanditselskab,2014-04-09,2200-01-01
35851690,40,K/S,Kommanditselskab,2014-04-30,2200-01-01
36016698,40,K/S,Kommanditselskab,2014-06-20,2200-01-01
36017554,40,K/S,Kommanditselskab,2014-06-20,2200-01-01
36393092,40,K/S,Kommanditselskab,2014-09-30,2200-01-01
36550929,40,K/S,Kommanditselskab,2015-02-24,2200-01-01
36550945,40,K/S,Kommanditselskab,2015-02-24,2200-01-01
36550953,40,K/S,Kommanditselskab,2015-02-24,2200-01-01
36914750,40,K/S,Kommanditselskab,2015-06-05,2200-01-01
36914769,40,K/S,Kommanditselskab,2015-06-05,2200-01-01
36947985,40,K/S,Kommanditselskab,2015-06-30,2018-05-17
36948450,40,K/S,Kommanditselskab,2015-06-30,2200-01-01
36988665,40,K/S,Kommanditselskab,2015-06-01,2200-01-01
37127876,40,K/S,Kommanditselskab,2015-09-30,2200-01-01
37216860,40,K/S,Kommanditselskab,2015-11-06,2200-01-01
37239305,40,K/S,Kommanditselskab,2015-11-11,2200-01-01
37371548,40,K/S,Kommanditselskab,2016-01-14,2200-01-01
37454702,40,K/S,Kommanditselskab,2016-02-16,2200-01-01
37672688,40,K/S,Kommanditselskab,2016-05-10,2200-01-01
37676446,40,K/S,Kommanditselskab,2016-05-01,2200-01-01
37789372,40,K/S,Kommanditselskab,2016-06-13,2200-01-01
37789410,40,K/S,Kommanditselskab,2016-06-13,2200-01-01
37889407,40,K/S,Kommanditselskab,2016-07-01,2200-01-01
38135864,40,K/S,Kommanditselskab,2016-10-21,2200-01-01
38155326,40,K/S,Kommanditselskab,2016-11-01,2200-01-01
38278150,40,K/S,Kommanditselskab,2016-12-21,2200-01-01
38394649,40,K/S,Kommanditselskab,2017-02-06,2200-01-01
38398962,40,K/S,Kommanditselskab,2017-02-07,2200-01-01
38437461,40,K/S,Kommanditselskab,2017-02-22,2200-01-01
38475142,40,K/S,Kommanditselskab,2017-03-08,2200-01-01
38556134,40,K/S,Kommanditselskab,2017-04-06,2200-01-01
38714708,40,K/S,Kommanditselskab,2017-06-13,2200-01-01
87619117,60,A/S,Aktieselskab,1978-01-30,2200-01-01
45107728,60,A/S,Aktieselskab,1958-11-20,2200-01-01
73519616,60,A/S,Aktieselskab,1984-02-13,2200-01-01
34484414,60,A/S,Aktieselskab,1971-11-18,2200-01-01
69042910,60,A/S,Aktieselskab,1982-06-25,2200-01-01
30830415,60,A/S,Aktieselskab,1968-02-07,2200-01-01
63401528,60,A/S,Aktieselskab,1981-01-02,2014-06-22
10355583,60,A/S,Aktieselskab,1986-07-25,2200-01-01
49979517,60,A/S,Aktieselskab,1960-02-15,2200-01-01
10325641,60,A/S,Aktieselskab,1986-07-01,2200-01-01
56548319,60,A/S,Aktieselskab,1976-02-05,2200-01-01
89496519,60,A/S,Aktieselskab,1984-05-07,2200-01-01
53371914,60,A/S,Aktieselskab,1920-09-08,2200-01-01
24256790,60,A/S,Aktieselskab,1931-11-28,2200-01-01
11921019,60,A/S,Aktieselskab,1914-10-06,2200-01-01
58466816,60,A/S,Aktieselskab,1976-06-28,2200-01-01
58233528,60,A/S,Aktieselskab,1976-07-13,2200-01-01
10376084,60,A/S,Aktieselskab,1986-08-15,2200-01-01
54664028,60,A/S,Aktieselskab,1975-11-21,2200-01-01
63244228,60,A/S,Aktieselskab,1980-09-28,2200-01-01
10285372,60,A/S,Aktieselskab,1986-05-10,2200-01-01
41002115,60,A/S,Aktieselskab,1948-03-15,2200-01-01
16015512,60,A/S,Aktieselskab,1966-06-10,2200-01-01
37982318,60,A/S,Aktieselskab,1975-12-14,2200-01-01
66022218,60,A/S,Aktieselskab,1980-06-27,2200-01-01
24379612,60,A/S,Aktieselskab,1937-11-23,2200-01-01
73317428,60,A/S,Aktieselskab,1983-08-30,2200-01-01
83567414,60,A/S,Aktieselskab,1977-10-11,2018-05-23
29700710,60,A/S,Aktieselskab,1970-08-07,2200-01-01
58868728,60,A/S,Aktieselskab,1983-02-28,2200-01-01
55624712,60,A/S,Aktieselskab,1960-12-09,2200-01-01
66732428,60,A/S,Aktieselskab,2011-05-12,2200-01-01
31761719,60,A/S,Aktieselskab,1969-11-26,2200-01-01
71312518,60,A/S,Aktieselskab,1984-10-05,2200-01-01
69720919,60,A/S,Aktieselskab,1965-10-12,2200-01-01
59082116,60,A/S,Aktieselskab,1976-11-03,2018-11-29
71277518,60,A/S,Aktieselskab,1984-09-21,2017-11-22
63338214,60,A/S,Aktieselskab,1981-06-24,2200-01-01
58274917,60,A/S,Aktieselskab,1976-06-10,2200-01-01
26041716,60,A/S,Aktieselskab,1999-10-16,2200-01-01
61628711,60,A/S,Aktieselskab,1980-06-02,2200-01-01
17500317,60,A/S,Aktieselskab,1917-11-22,2200-01-01
89502217,60,A/S,Aktieselskab,1979-10-12,2200-01-01
78421312,60,A/S,Aktieselskab,1985-06-07,2200-01-01
77973311,60,A/S,Aktieselskab,1985-02-19,2200-01-01
10775345,60,A/S,Aktieselskab,1987-04-09,2200-01-01
12094299,60,A/S,Aktieselskab,1988-03-22,2200-01-01
37101117,60,A/S,Aktieselskab,1963-03-21,2200-01-01
58227811,60,A/S,Aktieselskab,1963-12-13,2200-01-01
41603119,60,A/S,Aktieselskab,1972-06-29,2200-01-01
66819213,60,A/S,Aktieselskab,1981-03-27,2200-01-01
42997811,60,A/S,Aktieselskab,1926-06-18,2200-01-01
22757318,60,A/S,Aktieselskab,1962-09-26,2200-01-01
37048119,60,A/S,Aktieselskab,1970-06-22,2200-01-01
34485216,60,A/S,Aktieselskab,1971-12-31,2200-01-01
10626870,60,A/S,Aktieselskab,1987-04-01,2200-01-01
67249712,60,A/S,Aktieselskab,1981-08-13,2200-01-01
41257911,60,A/S,Aktieselskab,1925-11-17,2200-01-01
24053415,60,A/S,Aktieselskab,1930-12-20,2200-01-01
37984515,60,A/S,Aktieselskab,1972-01-31,2200-01-01
41669810,60,A/S,Aktieselskab,1972-09-29,2200-01-01
25013719,60,A/S,Aktieselskab,1969-05-19,2200-01-01
13386293,60,A/S,Aktieselskab,1989-08-01,2200-01-01
34391513,60,A/S,Aktieselskab,1971-12-21,2200-01-01
12759274,60,A/S,Aktieselskab,1989-01-01,2200-01-01
11810543,60,A/S,Aktieselskab,1987-05-01,2200-01-01
70879212,60,A/S,Aktieselskab,1982-11-20,2200-01-01
13457395,60,A/S,Aktieselskab,1989-09-08,2200-01-01
50228312,60,A/S,Aktieselskab,1937-03-30,2018-09-26
37783315,60,A/S,Aktieselskab,1952-05-20,2200-01-01
16501611,60,A/S,Aktieselskab,1965-03-01,2200-01-01
37244716,60,A/S,Aktieselskab,1975-11-18,2200-01-01
73774217,60,A/S,Aktieselskab,2001-03-09,2200-01-01
63578428,60,A/S,Aktieselskab,2000-10-18,2200-01-01
22757016,60,A/S,Aktieselskab,1962-10-25,2200-01-01
56780416,60,A/S,Aktieselskab,1962-11-12,2200-01-01
10294673,60,A/S,Aktieselskab,1986-06-09,2200-01-01
60997918,60,A/S,Aktieselskab,1981-12-10,2200-01-01
36469528,60,A/S,Aktieselskab,1955-09-21,2200-01-01
17396013,60,A/S,Aktieselskab,1964-10-03,2200-01-01
14921311,60,A/S,Aktieselskab,1966-05-27,2017-03-02
36056428,60,A/S,Aktieselskab,1965-10-29,2200-01-01
34281718,60,A/S,Aktieselskab,1971-06-18,2200-01-01
66772616,60,A/S,Aktieselskab,1963-01-30,2200-01-01
53182615,60,A/S,Aktieselskab,1984-02-01,2200-01-01
14790608,60,A/S,Aktieselskab,1990-10-09,2200-01-01
74154913,60,A/S,Aktieselskab,1984-01-02,2200-01-01
23924919,60,A/S,Aktieselskab,1968-02-23,2200-01-01
15694688,60,A/S,Aktieselskab,1991-12-04,2200-01-01
19587916,60,A/S,Aktieselskab,1999-10-16,2200-01-01
18424649,60,A/S,Aktieselskab,1987-06-15,2014-08-31
30336119,60,A/S,Aktieselskab,1952-12-31,2200-01-01
32774210,60,A/S,Aktieselskab,1971-02-22,2200-01-01
55227012,60,A/S,Aktieselskab,1976-05-26,2200-01-01
10314038,60,A/S,Aktieselskab,1986-07-01,2200-01-01
51658817,60,A/S,Aktieselskab,1975-04-01,2200-01-01
10209781,60,A/S,Aktieselskab,1986-03-14,2200-01-01
27070515,60,A/S,Aktieselskab,1983-06-14,2200-01-01
34988811,60,A/S,Aktieselskab,1965-03-13,2200-01-01
15517085,60,A/S,Aktieselskab,1991-10-01,2200-01-01
61098828,60,A/S,Aktieselskab,1957-09-05,2200-01-01
36440414,60,A/S,Aktieselskab,1960-04-01,2200-01-01
14415130,60,A/S,Aktieselskab,1990-07-01,2200-01-01
57344717,60,A/S,Aktieselskab,1954-05-13,2015-06-24
26194210,60,A/S,Aktieselskab,2002-06-11,2200-01-01
15882646,60,A/S,Aktieselskab,1992-01-01,2200-01-01
34728712,60,A/S,Aktieselskab,1916-06-29,2200-01-01
15036117,60,A/S,Aktieselskab,1962-11-23,2200-01-01
61232915,60,A/S,Aktieselskab,1981-12-11,2200-01-01
13182841,60,A/S,Aktieselskab,1989-06-16,2016-12-16
15769998,60,A/S,Aktieselskab,1991-12-01,2200-01-01
81876614,60,A/S,Aktieselskab,1976-11-25,2200-01-01
45520811,60,A/S,Aktieselskab,1932-11-01,2200-01-01
11516203,60,A/S,Aktieselskab,1987-11-02,2200-01-01
48791018,60,A/S,Aktieselskab,1974-04-16,2200-01-01
62556013,60,A/S,Aktieselskab,1900-05-19,2200-01-01
14684034,60,A/S,Aktieselskab,1990-10-02,2200-01-01
34250316,60,A/S,Aktieselskab,2001-06-01,2200-01-01
11562639,60,A/S,Aktieselskab,1987-11-01,2200-01-01
12375107,60,A/S,Aktieselskab,1988-08-01,2200-01-01
11783376,60,A/S,Aktieselskab,1987-12-21,2200-01-01
12374674,60,A/S,Aktieselskab,1988-08-01,2200-01-01
10687780,60,A/S,Aktieselskab,1987-01-01,2200-01-01
17010190,60,A/S,Aktieselskab,1993-05-15,2200-01-01
62693517,60,A/S,Aktieselskab,1962-06-25,2200-01-01
15033975,60,A/S,Aktieselskab,1991-05-02,2200-01-01
73297710,60,A/S,Aktieselskab,1983-06-30,2200-01-01
10664195,60,A/S,Aktieselskab,1987-03-01,2200-01-01
28544014,60,A/S,Aktieselskab,1971-01-25,2200-01-01
10193079,60,A/S,Aktieselskab,1986-05-01,2018-08-28
38454218,60,A/S,Aktieselskab,1951-10-06,2200-01-01
11394914,60,A/S,Aktieselskab,1968-02-28,2200-01-01
84940828,60,A/S,Aktieselskab,1978-09-28,2016-10-13
70144417,60,A/S,Aktieselskab,1982-12-29,2200-01-01
34018413,60,A/S,Aktieselskab,1970-03-19,2017-04-26
81710813,60,A/S,Aktieselskab,1976-06-25,2200-01-01
13170541,60,A/S,Aktieselskab,1989-06-30,2200-01-01
24256944,60,A/S,Aktieselskab,1990-01-22,2018-09-19
86437414,60,A/S,Aktieselskab,1979-06-12,2200-01-01
76654611,60,A/S,Aktieselskab,1984-12-18,2200-01-01
24256782,60,A/S,Aktieselskab,1974-06-20,2200-01-01
13611300,60,A/S,Aktieselskab,1989-10-16,2200-01-01
45075818,60,A/S,Aktieselskab,1972-09-28,2200-01-01
15111283,60,A/S,Aktieselskab,1991-04-01,2200-01-01
14450874,60,A/S,Aktieselskab,1990-08-01,2200-01-01
63049611,60,A/S,Aktieselskab,1917-04-30,2200-01-01
34629218,60,A/S,Aktieselskab,1942-10-09,2200-01-01
11760074,60,A/S,Aktieselskab,1987-12-01,2200-01-01
15300078,60,A/S,Aktieselskab,2012-11-06,2014-11-19
73438128,60,A/S,Aktieselskab,1983-12-22,2200-01-01
36099216,60,A/S,Aktieselskab,1962-07-28,2016-10-28
12843747,60,A/S,Aktieselskab,1989-01-01,2200-01-01
17269674,60,A/S,Aktieselskab,1993-06-30,2200-01-01
10026547,60,A/S,Aktieselskab,1985-12-20,2018-09-28
43359010,60,A/S,Aktieselskab,1973-10-24,2019-02-28
87476928,60,A/S,Aktieselskab,1979-02-07,2200-01-01
10238889,60,A/S,Aktieselskab,1986-06-03,2200-01-01
52994918,60,A/S,Aktieselskab,1975-06-27,2200-01-01
82776214,60,A/S,Aktieselskab,1990-02-01,2200-01-01
18232642,60,A/S,Aktieselskab,1994-07-01,2200-01-01
36213728,60,A/S,Aktieselskab,1972-03-27,2200-01-01
28643012,60,A/S,Aktieselskab,1969-10-31,2200-01-01
10643597,60,A/S,Aktieselskab,1986-11-26,2200-01-01
18178494,60,A/S,Aktieselskab,1994-10-12,2200-01-01
11214304,60,A/S,Aktieselskab,1987-04-01,2016-05-19
34094810,60,A/S,Aktieselskab,1971-11-02,2200-01-01
15233877,60,A/S,Aktieselskab,1991-06-06,2200-01-01
63918113,60,A/S,Aktieselskab,1949-11-13,2018-10-30
19982912,60,A/S,Aktieselskab,1967-06-30,2200-01-01
15202513,60,A/S,Aktieselskab,1911-09-18,2200-01-01
13827532,60,A/S,Aktieselskab,1989-12-05,2200-01-01
62756217,60,A/S,Aktieselskab,1941-06-28,2200-01-01
37754013,60,A/S,Aktieselskab,1963-12-13,2200-01-01
24622428,60,A/S,Aktieselskab,1961-04-17,2200-01-01
69749917,60,A/S,Aktieselskab,1957-09-04,2200-01-01
55082715,60,A/S,Aktieselskab,1957-01-31,2200-01-01
74165915,60,A/S,Aktieselskab,1983-12-22,2017-05-18
75128711,60,A/S,Aktieselskab,1984-06-20,2200-01-01
75922116,60,A/S,Aktieselskab,1984-06-25,2200-01-01
17729772,60,A/S,Aktieselskab,1993-12-31,2200-01-01
80326610,60,A/S,Aktieselskab,1976-12-31,2200-01-01
86631628,60,A/S,Aktieselskab,1979-07-06,2200-01-01
53385613,60,A/S,Aktieselskab,1952-07-31,2200-01-01
22069519,60,A/S,Aktieselskab,1966-04-01,2200-01-01
39234017,60,A/S,Aktieselskab,1919-05-20,2016-07-06
89722128,60,A/S,Aktieselskab,1980-07-09,2200-01-01
81601518,60,A/S,Aktieselskab,1976-06-30,2200-01-01
74760716,60,A/S,Aktieselskab,1984-02-29,2017-12-19
75128517,60,A/S,Aktieselskab,2007-12-07,2200-01-01
16669792,60,A/S,Aktieselskab,1990-04-01,2200-01-01
12386605,60,A/S,Aktieselskab,1988-08-01,2200-01-01
18351382,60,A/S,Aktieselskab,1995-02-16,2017-03-06
19351211,60,A/S,Aktieselskab,1999-10-16,2200-01-01
10290511,60,A/S,Aktieselskab,1915-03-15,2200-01-01
61082913,60,A/S,Aktieselskab,1924-06-26,2200-01-01
16691380,60,A/S,Aktieselskab,1992-12-29,2200-01-01
16223387,60,A/S,Aktieselskab,1986-01-01,2200-01-01
14707204,60,A/S,Aktieselskab,1990-09-19,2200-01-01
12070306,60,A/S,Aktieselskab,1988-04-01,2014-12-04
12070306,60,A/S,Aktieselskab,2015-10-26,2016-08-02
16993344,60,A/S,Aktieselskab,1993-04-01,2200-01-01
14406441,60,A/S,Aktieselskab,1990-07-01,2015-04-29
12654693,60,A/S,Aktieselskab,2006-05-17,2200-01-01
88015428,60,A/S,Aktieselskab,1979-09-25,2200-01-01
15355549,60,A/S,Aktieselskab,1991-08-01,2200-01-01
22765310,60,A/S,Aktieselskab,1969-02-04,2200-01-01
37499919,60,A/S,Aktieselskab,1957-08-23,2200-01-01
56193316,60,A/S,Aktieselskab,1975-11-24,2200-01-01
78785217,60,A/S,Aktieselskab,1985-06-28,2015-08-12
85232312,60,A/S,Aktieselskab,1978-12-02,2200-01-01
26776910,60,A/S,Aktieselskab,1969-12-01,2200-01-01
17895907,60,A/S,Aktieselskab,1984-07-12,2200-01-01
88663217,60,A/S,Aktieselskab,1980-01-08,2200-01-01
51572718,60,A/S,Aktieselskab,1974-12-19,2200-01-01
24257843,60,A/S,Aktieselskab,1999-10-16,2200-01-01
36674415,60,A/S,Aktieselskab,1971-02-21,2200-01-01
17007971,60,A/S,Aktieselskab,2007-05-10,2200-01-01
17237977,60,A/S,Aktieselskab,1993-07-05,2200-01-01
43910515,60,A/S,Aktieselskab,1957-09-14,2200-01-01
30284828,60,A/S,Aktieselskab,1971-02-08,2200-01-01
73488710,60,A/S,Aktieselskab,1984-02-13,2015-10-27
56147713,60,A/S,Aktieselskab,1955-07-05,2200-01-01
17919679,60,A/S,Aktieselskab,1994-05-01,2016-05-27
19696898,60,A/S,Aktieselskab,1996-09-16,2200-01-01
82151419,60,A/S,Aktieselskab,1980-12-04,2200-01-01
10504473,60,A/S,Aktieselskab,1986-11-01,2200-01-01
74033911,60,A/S,Aktieselskab,2005-11-28,2200-01-01
42514012,60,A/S,Aktieselskab,1972-10-26,2200-01-01
15763582,60,A/S,Aktieselskab,1991-12-20,2200-01-01
73111714,60,A/S,Aktieselskab,1955-09-21,2200-01-01
74457215,60,A/S,Aktieselskab,1984-01-19,2200-01-01
78735716,60,A/S,Aktieselskab,1985-06-01,2200-01-01
16962589,60,A/S,Aktieselskab,1993-04-01,2200-01-01
10061377,60,A/S,Aktieselskab,1985-12-09,2200-01-01
15807776,60,A/S,Aktieselskab,1991-12-06,2200-01-01
17261444,60,A/S,Aktieselskab,1993-09-01,2017-02-24
86668211,60,A/S,Aktieselskab,1979-06-28,2200-01-01
18702045,60,A/S,Aktieselskab,1995-07-31,2016-11-30
16942634,60,A/S,Aktieselskab,1993-01-08,2200-01-01
18465388,60,A/S,Aktieselskab,1995-04-03,2200-01-01
75366612,60,A/S,Aktieselskab,1984-09-14,2200-01-01
14833692,60,A/S,Aktieselskab,1990-11-28,2200-01-01
70644517,60,A/S,Aktieselskab,1982-10-15,2200-01-01
15314400,60,A/S,Aktieselskab,1991-08-01,2200-01-01
13823774,60,A/S,Aktieselskab,1990-01-08,2200-01-01
10407702,60,A/S,Aktieselskab,1986-09-19,2016-12-14
19529142,60,A/S,Aktieselskab,1996-08-22,2200-01-01
17030744,60,A/S,Aktieselskab,1993-03-16,2200-01-01
17035347,60,A/S,Aktieselskab,1993-06-01,2200-01-01
59946013,60,A/S,Aktieselskab,1943-08-31,2200-01-01
19687236,60,A/S,Aktieselskab,2000-09-24,2200-01-01
16445037,60,A/S,Aktieselskab,1992-08-12,2200-01-01
43521713,60,A/S,Aktieselskab,1972-12-11,2200-01-01
61117318,60,A/S,Aktieselskab,2004-06-07,2200-01-01
70587114,60,A/S,Aktieselskab,1982-12-20,2200-01-01
19042677,60,A/S,Aktieselskab,1996-01-10,2200-01-01
18034409,60,A/S,Aktieselskab,1994-09-01,2200-01-01
12422644,60,A/S,Aktieselskab,1988-08-21,2200-01-01
14406042,60,A/S,Aktieselskab,1990-07-01,2200-01-01
37144118,60,A/S,Aktieselskab,1977-03-01,2200-01-01
